Wall time,Step,Value
1729147205,97,0.158923253
1729147427,98,0.148161948
1729147649,99,0.127268434
1729147871,100,0.143509835
1729148093,101,0.132792652
1729148315,102,0.142085254
1729148537,103,0.128662229
1729148759,104,0.131104767
1729148981,105,0.130381748
1729149203,106,0.122387663
1729149425,107,0.130638942
1729149647,108,0.130818292
1729149870,109,0.120159425
1729150092,110,0.124608003
1729150314,111,0.115985304
1729150536,112,0.11466372
1729150759,113,0.126103729
1729150981,114,0.112386949
1729151203,115,0.11165949
1729151425,116,0.109801702
1729151647,117,0.103862718
1729151870,118,0.102476552
1729152092,119,0.098988056
1729152314,120,0.097397439
1729152536,121,0.106106162
1729152758,122,0.09957128
1729152980,123,0.093370929
1729153203,124,0.095297016
1729153425,125,0.096215419
1729153648,126,0.093156315
1729153869,127,0.092913158
1729154091,128,0.090309821
1729154313,129,0.087616719
1729154534,130,0.087140225
1729154756,131,0.086223945
1729154978,132,0.08344496
1729155200,133,0.083777942
1729155422,134,0.084740348
1729155643,135,0.083932266
1729155865,136,0.079944842
1729156086,137,0.080169104
1729156309,138,0.080583356
1729156530,139,0.078267403
1729156752,140,0.078424819
1729156974,141,0.077247448
1729157196,142,0.077063784
1729157419,143,0.076300539
1729157640,144,0.076761924
1729157862,145,0.076222099
1729158084,146,0.077073112
1729158306,147,0.075446859
1729158527,148,0.074346237
1729158750,149,0.074252471
1729158972,150,0.15102452
1729159194,151,0.164139003
1729159417,152,0.207279235
1729159638,153,0.149962232
1729159860,154,0.154877022
1729160082,155,0.151840165
1729160304,156,0.148093328
1729160527,157,0.176057592
1729160749,158,0.167693883
1729160971,159,0.14208065
1729161193,160,0.168696016
1729161417,161,0.145821437
1729161640,162,0.175349355
1729161862,163,0.157162502
1729162085,164,0.174148306
1729162308,165,0.143489763
1729162530,166,0.172280863
1729162753,167,0.145184144
1729162975,168,0.140964821
1729163197,169,0.139426574
1729163421,170,0.137499288
1729163644,171,0.139302328
1729163866,172,0.132148415
1729164089,173,0.144377202
1729164312,174,0.130348131
1729164536,175,0.146171182
1729164758,176,0.138643235
1729164982,177,0.137575746
1729165204,178,0.116533346
1729165428,179,0.159085572
1729165650,180,0.127175584
1729165872,181,0.147062972
1729166096,182,0.139504537
1729166319,183,0.127967983
1729166542,184,0.112995416
1729166766,185,0.137826383
1729166990,186,0.127679884
1729167213,187,0.121152751
1729167436,188,0.143178433
1729167659,189,0.128206953
1729167882,190,0.124759167
1729168105,191,0.138560191
1729168327,192,0.121100873
1729168551,193,0.127574518
1729168774,194,0.168672785
1729168997,195,0.154240564
1729169220,196,0.141081512
1729169442,197,0.121965177
1729169665,198,0.149580434
1729169888,199,0.10956011
1729170111,200,0.106153853
1729170333,201,0.121660627
1729170556,202,0.108958505
1729170778,203,0.132638618
1729171001,204,0.123298571
1729171223,205,0.110543072
1729171446,206,0.104922302
1729171669,207,0.141154617
1729171891,208,0.102135479
1729172115,209,0.114974432
1729172339,210,0.120221093
1729172561,211,0.1211714
1729172784,212,0.123708129
1729173009,213,0.105746709
1729173234,214,0.113759816
1729173459,215,0.125304967
1729173684,216,0.124365754
1729173909,217,0.099090926
1729174134,218,0.101388931
1729174360,219,0.096395649
1729174587,220,0.104425274
1729174812,221,0.10190329
1729175038,222,0.086970024
1729175263,223,0.101839066
1729175489,224,0.096008867
1729175714,225,0.091302246
1729175939,226,0.105867445
1729176164,227,0.101612017
1729176390,228,0.093099408
1729176615,229,0.082619689
1729176840,230,0.112943277
1729177065,231,0.093096271
1729177289,232,0.107891858
1729177515,233,0.093281128
1729177741,234,0.091958731
1729177966,235,0.085353948
1729178191,236,0.112341054
1729178416,237,0.095496804
1729178641,238,0.091867402
1729178866,239,0.083547786
1729179090,240,0.107791834
1729179316,241,0.082571886
1729179541,242,0.087105706
1729179766,243,0.084594809
1729179991,244,0.081322782
1729180216,245,0.079502933
1729180442,246,0.081784174
1729180666,247,0.081116959
1729180891,248,0.097824261
1729181116,249,0.086164534
1729181341,250,0.099168099
1729181566,251,0.076712623
1729181792,252,0.074822992
1729182016,253,0.073653616
1729182241,254,0.093597412
1729182468,255,0.075416721
1729182692,256,0.078546681
1729182918,257,0.071949512
1729183143,258,0.083269492
1729183370,259,0.073768772
1729183595,260,0.076291703
1729183820,261,0.071914755
1729184044,262,0.083989009
1729184269,263,0.072071865
1729184495,264,0.088192418
1729184720,265,0.066334352
1729184945,266,0.063543841
1729185170,267,0.070090428
1729185395,268,0.074422039
1729185621,269,0.071587734
1729185846,270,0.064613841
1729186071,271,0.06603843
1729186297,272,0.066787064
1729186523,273,0.061995879
1729186749,274,0.06789469
1729186974,275,0.065033041
1729187199,276,0.061276264
1729187424,277,0.065152824
1729187650,278,0.060203176
1729187877,279,0.055875205
1729188103,280,0.060756277
1729188328,281,0.061078493
1729188554,282,0.062199533
1729188778,283,0.058011446
1729189004,284,0.059137274
1729189230,285,0.061076641
1729189456,286,0.056155264
1729189682,287,0.061751515
1729189907,288,0.058583967
1729190132,289,0.054996014
1729190358,290,0.05827383
1729190583,291,0.056525435
1729190808,292,0.052386343
1729191033,293,0.053279907
1729191258,294,0.051881861
1729191483,295,0.050118934
1729191709,296,0.05296031
1729191934,297,0.052435163
1729192159,298,0.056001756
1729192384,299,0.052512337
